iter	Passed	Remaining
0	43	3816
1	94	4098
2	139	4011
3	190	4038
4	235	3960
5	287	3975
6	333	3904
7	377	3822
8	423	3764
9	471	3728
10	518	3674
11	565	3629
12	614	3590
13	659	3533
14	711	3510
15	771	3519
16	821	3478
17	872	3440
18	919	3387
19	972	3353
20	1027	3326
21	1079	3287
22	1130	3244
23	1183	3205
24	1242	3181
25	1300	3150
26	1359	3122
27	1412	3076
28	1456	3013
29	1510	2970
30	1555	2909
31	1606	2861
32	1661	2819
33	1721	2785
34	1772	2734
35	1827	2690
36	1879	2641
37	1930	2591
38	1981	2540
39	2034	2491
40	2081	2437
41	2128	2381
42	2175	2327
43	2221	2271
44	2265	2215
45	2314	2163
46	2362	2111
47	2414	2062
48	2472	2018
49	2523	1968
50	2575	1919
51	2625	1868
52	2678	1819
53	2731	1770
54	2778	1717
55	2829	1667
56	2886	1620
57	2938	1570
58	2986	1518
59	3035	1467
60	3082	1415
61	3130	1363
62	3183	1313
63	3236	1264
64	3282	1212
65	3332	1161
66	3387	1112
67	3433	1060
68	3486	1010
69	3538	960
70	3587	909
71	3635	858
72	3682	807
73	3738	757
74	3796	708
75	3852	658
76	3905	608
77	3961	558
78	4020	508
79	4074	458
80	4120	406
81	4166	355
82	4218	304
83	4279	254
84	4325	203
85	4373	152
86	4421	101
87	4474	50
88	4521	0
